titulo;empresa;pais;ciudad_limpia;ubicacion_raw;salario_medio_ppp_2024;indice_coste_vida_2024;indice_alquiler_2024;salario_real_ajustado;modalidad;es_teletrabajo;desc_longitud;url
Research Analyst, Iberian Power Markets;Aurora Energy Research;ES;Madrid;Trabajo híbrido in 28016 Madrid, Madrid provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;166;https://es.indeed.com/viewjob?jk=a9cd919375b45fc0
Senior Product Data Analyst;EcoVadis;ES;Barcelona;Trabajo híbrido in Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;166;https://es.indeed.com/viewjob?jk=b9fadb67dd9f092c
Experienced Data Analyst - Reporting Library & Data Governance (m/f/d);MEDIA MARKT SATURN TH SERVICES BARCELONA, S.A.;ES;Barcelona;Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Presencial;False;200;https://es.indeed.com/viewjob?jk=736fe1d7728ddc9e
Growth Marketing Analyst;Kaplan Languages Group;ES;Barcelona;Trabajo híbrido in Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;134;https://es.indeed.com/viewjob?jk=58ad3134462b4ab2
IT Business Analyst ( Barcelona - English Mandatory);Sopra Steria;ES;Barcelona;08011 Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Presencial;False;176;https://es.indeed.com/viewjob?jk=deaba371a923219d
Business Intelligence specialist - 100% on- site;DO & CO;ES;Madrid;Madrid, Madrid provincia;54564.408;48.7;18.2;112041.91;Presencial;False;156;https://es.indeed.com/viewjob?jk=4dd39413d301cb1b
Data Governance Expert for Data Analytics Tools;Fusion Consulting;ES;Barcelona;Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Presencial;False;159;https://es.indeed.com/viewjob?jk=89ef7e9d17dc9cc3
Business Process Analyst Infosec;ESML SD Iberia Holding S A U;ES;Pozuelo De Alarcón;28223 Pozuelo de Alarcón, Madrid provincia;54564.408;48.7;18.2;112041.91;Presencial;False;141;https://es.indeed.com/viewjob?jk=76599a9fcd4ee008
Business Analyst (Salesforce);Docplanner;ES;Barcelona;Teletrabajo in Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;175;https://es.indeed.com/viewjob?jk=9726a99ff6be4600
IT Support Analyst – Global Platforms;Talan;ES;Málaga;Málaga, Málaga provincia;54564.408;48.7;18.2;112041.91;Presencial;False;158;https://es.indeed.com/viewjob?jk=8c5013c5afe469bc
MDM Functional Analyst;SGS;ES;Madrid;Trabajo híbrido in 28042 Madrid, Madrid provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;151;https://es.indeed.com/viewjob?jk=05ec33ee9132188a
Sin Título;;ES;Desconocido;;54564.408;48.7;18.2;112041.91;Presencial;False;0;https://es.indeed.com/viewjob?jk=abcdef0123456789
Data Engineering Lead;SeQura;ES;Barcelona;Teletrabajo in 08010 Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;117;https://es.indeed.com/viewjob?jk=e0d21206dd875602
Head of Data Science & Analytics;Heetch;ES;Barcelona;Trabajo híbrido in Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;132;https://es.indeed.com/viewjob?jk=fb001fc2b226d01a
FP&A Analyst _ IT and Global costs;Kaplan Languages Group;ES;Barcelona;Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Presencial;False;125;https://es.indeed.com/viewjob?jk=37f9753c1935d689
Business Continuity Management Analyst;ESML SD Iberia Holding S A U;ES;Pozuelo De Alarcón;28223 Pozuelo de Alarcón, Madrid provincia;54564.408;48.7;18.2;112041.91;Presencial;False;147;https://es.indeed.com/viewjob?jk=eb436327c068ea3e
Technical Lead Java con francés_Proyecto internacional;Inetum Levante;ES;Alicante;Alicante, Alicante provincia;54564.408;48.7;18.2;112041.91;Presencial;False;199;https://es.indeed.com/viewjob?jk=1b27e9449016a1b8
Software Developer;ESML SD Iberia Holding S A U;ES;Pozuelo De Alarcón;28223 Pozuelo de Alarcón, Madrid provincia;54564.408;48.7;18.2;112041.91;Presencial;False;127;https://es.indeed.com/viewjob?jk=95266627c5536854
SSR - Cybersecurity Analyst;Talan;ES;Málaga;Málaga, Málaga provincia;54564.408;48.7;18.2;112041.91;Presencial;False;148;https://es.indeed.com/viewjob?jk=dc2255d1a19ba6f5
Data Analyst;Grupo Lanit;ES;España;Teletrabajo in España;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;117;https://es.indeed.com/viewjob?jk=5ff3399ef8cfe1fa
Data Analyst;Booksy;ES;;Teletrabajo;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;105;https://es.indeed.com/viewjob?jk=1317639095225991
Data Analyst (remoto);agap2;ES;España;Teletrabajo in España;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;117;https://es.indeed.com/viewjob?jk=9904ab9c2c54cf26
Data Analyst;MCEng España;ES;Barcelona;Teletrabajo in 08015 Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;114;https://es.indeed.com/viewjob?jk=3f05a49cc7108aeb
Data Analyst;RightHand;ES;Barcelona;Teletrabajo in Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;68;https://es.indeed.com/viewjob?jk=79a06cad6b40d1c0
Data Analyst Intern;Build38;ES;Barcelona;Trabajo híbrido in Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;99;https://es.indeed.com/viewjob?jk=d1825536b86d14f1
Junior Strategy Data Analyst;InPost Iberia;ES;Barcelona;Trabajo híbrido in 08014 Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;118;https://es.indeed.com/viewjob?jk=a94f0be37cf92aec
Data Analyst;Truv;ES;;Teletrabajo;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;29;https://es.indeed.com/viewjob?jk=26e77754d51cdeb4
FX Data Analyst - Intern;Kantox;ES;Barcelona;Trabajo híbrido in Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;173;https://es.indeed.com/viewjob?jk=43ad4b0251199d6b
Data Analyst (Flights);Exoticca;ES;Barcelona;Trabajo híbrido in Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;155;https://es.indeed.com/viewjob?jk=0c08228cc3044195
Data Analyst;Playtomic;ES;Madrid;Trabajo híbrido in 28001 Madrid, Madrid provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;92;https://es.indeed.com/viewjob?jk=450ce94541811ebe
Data Internship Program (They/She/He);Glovo;ES;Barcelona;08005 Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Presencial;False;138;https://es.indeed.com/viewjob?jk=962f179a243039a4
